"","Species","Colony","Core","Total.init","PropD.init","MaxY.init","BleachLvl","Total.bleach","PropD.bleach","MaxY.bleach","RecovTemp","Total.recov","PropD.recov","MaxY.recov","BleachLvl2","Total.bleach2","PropD.bleach2","MaxY.bleach2","Total.recov2","PropD.recov2","MaxY.recov2"
"29","Ss","Ss4","Ss4_6",0.637477569,0.257823760383952,0.507,"High",0.005771405,0.981223636185643,0.295,"29",0.150739758,0.994100295689741,0.403,NA,NA,NA,NA,NA,NA,NA
"30","Ss","Ss4","Ss4_8",85.60034432,0.704717286468971,0.454,"Med",3.878338431,0.955806391306649,0.34,"29",0.127178282,0.99371585315172,0.435,NA,NA,NA,NA,NA,NA,NA
"31","Ss","Ss4","Ss4_9",0.13260979,0.598437950923533,0.461,"Med",0.088716461,0.971171821202381,0.287,"24",0.15624872,0.995095127819287,0.392,NA,NA,NA,NA,NA,NA,NA
"32","Ss","Ss4","Ss4_10",0.112821218,0.100259288106604,0.482,"Low",0.039797642,0.28471907958768,0.279,"24",0.284921251,0.70757210384423,0.553,NA,NA,NA,NA,NA,NA,NA
"33","Ss","Ss4","Ss4_12",0.103895486,0.548396039073343,0.519,"High",0.010748649,0.980856943044656,0.301,"24",0.176039012,0.992425866375574,0.403,NA,NA,NA,NA,NA,NA,NA
"34","Ss","Ss4","Ss4_15",0.309310873,0.264314280991991,0.476,"Med",0.027904236,0.845103911821847,0.299,"29",0.083089478,0.984634071235831,0.409,NA,NA,NA,NA,NA,NA,NA
"35","Ss","Ss4","Ss4_16",0.51344107,0.385681725850252,0.458,"Med",0.110389239,0.679264606579995,0.235,"24",0.221076046,0.956287842238684,0.376,NA,NA,NA,NA,NA,NA,NA
"36","Ss","Ss4","Ss4_18",0.137273359,0.159792899072281,0.524,"High",0.010504094,0.971073088264442,0.362,"24",0.129685926,0.992065846836765,0.373,NA,NA,NA,NA,NA,NA,NA
"37","Ss","Ss4","Ss4_19",0.113269482,0.525788764532357,0.462,"Low",0.139718198,0.823524770910658,0.334,"29",0.143620541,0.993752321264407,0.405,NA,NA,NA,NA,NA,NA,NA
"38","Ss","Ss4","Ss4_20",0.053645091,0.694837315123578,0.469,"Low",0.073533075,0.500757720250377,0.358,"29",0.183624165,0.962920277949256,0.419,NA,NA,NA,NA,NA,NA,NA
"39","Ss","Ss4","Ss4_24",0.23465357,0.770118754212859,0.49,"High",0.032940838,0.996486762115766,0.4,"29",0.120651095,0.995838297199043,0.419,NA,NA,NA,NA,NA,NA,NA
"40","Ss","Ss5","Ss5_3",0.1501274214,0.000646513468991082,0.451,"Low",0.073595842,0,0.235,"24",0.7104954,0.906328433653476,0.511,NA,NA,NA,NA,NA,NA,NA
"41","Ss","Ss5","Ss5_5",0.579909232,0.0223955841420369,0.498,"Med",0.002257686,0,0.321,"24",0.004872777,0.900539466509549,0.258,NA,NA,NA,NA,NA,NA,NA
"42","Ss","Ss5","Ss5_8",0.003211233,0,0.564,"High",4.35467e-06,0,0.186,"24",0.012600721,0.949279410281364,0.207,NA,NA,NA,NA,NA,NA,NA
"43","Ss","Ss5","Ss5_9",0.144355654,0,0.494,"Low",0.078225932,0.142080608256607,0.301,"29",0.111134404,0.988920478666534,0.324,NA,NA,NA,NA,NA,NA,NA
"44","Ss","Ss5","Ss5_11",0.214660895,0.037093425889238,0.498,"Med",0.001402842,0,0.298,"29",NA,NA,0.311,NA,NA,NA,NA,NA,NA,NA
"45","Ss","Ss5","Ss5_12",23.19657322,0,0.463,"Low",0.013611068,0,0.361,"24",0.001633735,0.835888929355128,0.179,NA,NA,NA,NA,NA,NA,NA
"46","Ss","Ss5","Ss5_14",0.066034316,0,0.484,"Low",0.010739189,0.0828067184589078,0.352,"29",0.36242164,0.992095196081558,0.338,NA,NA,NA,NA,NA,NA,NA
"47","Ss","Ss5","Ss5_16",0.073954162,0.0207623744015922,0.545,"High",6.75929e-06,0,0.169,"29",0.131456023,0.984039217434716,0.287,NA,NA,NA,NA,NA,NA,NA
"48","Ss","Ss5","Ss5_18",NA,NA,0.501,"Med",0.366976435,0,0.34,"29",0.889620244,0.999157910349891,0.276,NA,NA,NA,NA,NA,NA,NA
"49","Ss","Ss5","Ss5_19",0.06611311,0,0.504,"Med",0.0001857517,0.817139224028636,0.288,"24",0.016333204,0.89184087825022,0.255,NA,NA,NA,NA,NA,NA,NA
"50","Ss","Ss6","Ss6_1",5.121538841,0.780801957018683,0.469,"Med",25.230308933,0.995514519330678,0.359,"29",0.104638304,0.998214191239185,0.418,NA,NA,NA,NA,NA,NA,NA
"51","Ss","Ss6","Ss6_3",0.422046379,0.853042264817062,0.5,"High",0.016483565,1,0.403,"24",0.253220038,0.995176250625158,0.419,NA,NA,NA,NA,NA,NA,NA
"52","Ss","Ss6","Ss6_4",0.031321745,0.864916019206465,0.438,"Low",0.014689861,0.814105661040632,0.391,"24",0.106166489,0.977696964246411,0.423,NA,NA,NA,NA,NA,NA,NA
